,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,In pkts interval,Out pkts interval,In pkts size,Out pkts size,Person
0,0.0s - 0.5s,137,0.003587768087591242,1210.014598540146,88,49,0.005644676528735632,0.010436646212765957,1248.9772727272727,1140.0408163265306,1
1,0.5s - 1.0s,142,0.0035166656760563376,1176.556338028169,83,59,0.0059794758048780485,0.008463123068965519,1224.5421686746988,1109.050847457627,1
2,1.0s - 1.5s,136,0.0035080923235294107,1138.9485294117646,77,59,0.005934424210526315,0.008056449568965517,1180.051948051948,1085.3050847457628,1
3,1.5s - 2.0s,148,0.0035415772500000005,1179.3648648648648,91,57,0.005452010877777778,0.008758992232142857,1231.2417582417581,1096.5438596491229,1
4,2.0s - 2.5s,133,0.0037608981052631566,1168.5112781954888,79,54,0.006285497243589744,0.008672736716981131,1218.746835443038,1095.0185185185185,1
5,2.5s - 3.0s,141,0.0035544695744680853,1178.3333333333333,83,58,0.005866060609756095,0.008613091561403509,1233.7710843373493,1099.0,1
6,3.0s - 3.5s,127,0.0037756069842519685,1157.8740157480315,72,55,0.00662398498591549,0.008165763814814816,1227.9583333333333,1066.1272727272728,1
7,3.5s - 4.0s,142,0.0036663575845070425,1185.3732394366198,83,59,0.00597446618292683,0.008168959241379307,1215.289156626506,1143.2881355932204,1
8,4.0s - 4.5s,132,0.00371330043939394,1173.409090909091,79,53,0.006155977397435894,0.008467602403846159,1216.9240506329113,1108.5471698113208,1
9,4.5s - 5.0s,136,0.0036817150220588243,1119.9485294117646,74,62,0.006298467657534241,0.007601793245901637,1200.0,1024.4032258064517,1
10,5.0s - 5.5s,120,0.004255223466666668,1103.5666666666666,64,56,0.007137855031746035,0.008898708599999998,1138.34375,1063.8214285714287,1
11,5.5s - 6.0s,136,0.00353683900735294,1169.3382352941176,82,54,0.005682610432098768,0.008507613754716991,1213.4268292682927,1102.388888888889,1
12,6.0s - 6.5s,124,0.0041108040806451624,1121.5564516129032,65,59,0.007025423906249995,0.008242590896551726,1147.446153846154,1093.0338983050847,1
13,6.5s - 7.0s,141,0.0036202122978723425,1163.22695035461,90,51,0.005510322707865171,0.009742697259999994,1231.9,1042.0392156862745,1
14,7.0s - 7.5s,138,0.0036287353768115946,1202.5507246376812,79,59,0.006287533923076918,0.008456658758620691,1255.379746835443,1131.8135593220338,1
15,7.5s - 8.0s,144,0.003474521249999999,1191.7430555555557,88,56,0.005637633206896553,0.008740939872727277,1240.8636363636363,1114.5535714285713,1
