,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,In pkts interval,Out pkts interval,In pkts size,Out pkts size,Bit Rate,Inbound bit rate,Outbound bit rate,Person
0,0.0s - 0.5s,158,0.0031037986835443054,1188.632911392405,91,67,0.005510110786516854,0.00682703312121212,1181.1868131868132,1198.7462686567164,375608.0,214976.0,160632.0,1
1,0.5s - 1.0s,166,0.0030171110843373486,1201.5,103,63,0.004706613882352942,0.007843765806451613,1218.126213592233,1174.3174603174602,398898.0,250934.0,147964.0,1
2,1.0s - 1.5s,152,0.0033419477368421043,1231.7565789473683,98,54,0.004850577907216496,0.008419168528301884,1230.0510204081634,1234.851851851852,374454.0,241090.0,133364.0,1
3,1.5s - 2.0s,165,0.0029886847636363635,1219.5333333333333,112,53,0.004418339054054053,0.009258178846153845,1217.0892857142858,1224.698113207547,402446.0,272628.0,129818.0,1
4,2.0s - 2.5s,155,0.003163813748387097,1209.4193548387098,96,59,0.005055847147368422,0.00828120589655173,1220.5104166666667,1191.3728813559321,374920.0,234338.0,140582.0,1
5,2.5s - 3.0s,155,0.003165211967741933,1216.141935483871,100,55,0.004650202333333334,0.008188559111111115,1223.64,1202.509090909091,377004.0,244728.0,132276.0,1
6,3.0s - 3.5s,163,0.0032203552760736195,1179.3067484662577,107,56,0.0034691522264150947,0.008933549818181823,1192.1028037383178,1154.857142857143,384454.0,255110.0,129344.0,1
7,3.5s - 4.0s,145,0.0031929796689655165,1213.8896551724138,89,56,0.004155724965909092,0.00823478087272727,1206.2359550561798,1226.0535714285713,352028.0,214710.0,137318.0,1
8,4.0s - 4.5s,162,0.0032544563703703695,1207.5123456790122,108,54,0.0032560308691588803,0.008529381377358487,1218.712962962963,1185.111111111111,391234.0,263242.0,127992.0,1
9,4.5s - 5.0s,175,0.0028380942742857133,1215.56,116,59,0.0041618670608695625,0.008092777999999998,1224.1724137931035,1198.6271186440679,425446.0,284008.0,141438.0,1
10,5.0s - 5.5s,143,0.0035313106853146863,1217.7202797202797,86,57,0.0036120554470588195,0.008226878624999998,1223.906976744186,1208.3859649122808,348268.0,210512.0,137756.0,1
11,5.5s - 6.0s,167,0.00304814286227545,1198.7964071856288,108,59,0.003219497401869163,0.008600993103448275,1207.4166666666667,1183.0169491525423,400398.0,260802.0,139596.0,1
12,6.0s - 6.5s,169,0.002943208242603551,1211.3727810650887,118,51,0.0038780086068376097,0.00908304244,1228.5,1171.7450980392157,409444.0,289926.0,119518.0,1
13,6.5s - 7.0s,157,0.003204723095541405,1219.9490445859872,96,61,0.004833080242105263,0.008145441199999996,1234.28125,1197.3934426229507,383064.0,236982.0,146082.0,1
14,7.0s - 7.5s,71,0.006883845225352113,1245.0704225352113,71,0,0.004723492671428569,0,1245.0704225352113,0,176800.0,176800.0,0.0,1
15,7.5s - 8.0s,99,0.005163487333333332,1232.3737373737374,99,0,0.00499432882653061,0,1232.3737373737374,0,244010.0,244010.0,0.0,1
16,8.0s - 8.5s,263,0.0018999408479087455,1109.1102661596958,143,120,0.0034452012957746454,0.0039464712605042016,1154.1468531468531,1055.4416666666666,583392.0,330086.0,253306.0,1
17,8.5s - 9.0s,105,0.004674191,1249.7714285714285,99,6,0.004995940673469378,0.002599150200000011,1248.6060606060605,1269.0,262452.0,247224.0,15228.0,1
18,9.0s - 9.5s,127,0.004012066763779527,1206.6535433070867,97,30,0.005107258114583328,0.007379195689655194,1205.7113402061855,1209.7,306490.0,233908.0,72582.0,1
19,9.5s - 10.0s,168,0.002925786488095237,1176.8869047619048,112,56,0.004331872963963955,0.007498803345454551,1177.8214285714287,1175.017857142857,395434.0,263832.0,131602.0,1
20,10.0s - 10.5s,157,0.0031928567770700637,1221.656050955414,97,60,0.005124765083333334,0.007992808220338973,1229.1752577319587,1209.5,383600.0,238460.0,145140.0,1
21,10.5s - 11.0s,162,0.00308132699382716,1176.9753086419753,106,56,0.004505996876190483,0.008722490545454516,1190.254716981132,1151.8392857142858,381340.0,252334.0,129006.0,1
22,11.0s - 11.5s,160,0.0031394733937500003,1206.43125,105,55,0.004545242865384611,0.008148343277777761,1222.5047619047618,1175.7454545454545,386058.0,256726.0,129332.0,1
23,11.5s - 12.0s,158,0.0031696840759493647,1222.9810126582279,100,58,0.004965651575757576,0.008592346228070182,1230.02,1210.844827586207,386462.0,246004.0,140458.0,1
24,12.0s - 12.5s,143,0.003415902538461535,1206.9160839160838,91,52,0.003758098677777788,0.008432625274509829,1212.7032967032967,1196.7884615384614,345178.0,220712.0,124466.0,1
25,12.5s - 13.0s,164,0.0030541049817073168,1170.4756097560976,101,63,0.0035226420899999943,0.007678636467741917,1230.7524752475247,1073.8412698412699,383916.0,248612.0,135304.0,1
26,13.0s - 13.5s,157,0.0032392546305732494,1210.7261146496814,99,58,0.003292794887755092,0.008628728824561387,1222.2828282828282,1191.0,380168.0,242012.0,138156.0,1
27,13.5s - 14.0s,208,0.0024121540673076934,1220.9038461538462,155,53,0.0031993653051948017,0.008426493000000014,1225.1612903225807,1208.4528301886792,507896.0,379800.0,128096.0,1
28,14.0s - 14.5s,176,0.002863093431818181,1193.0397727272727,114,62,0.004370204982300882,0.007889900606557388,1202.6754385964912,1175.3225806451612,419950.0,274210.0,145740.0,1
29,14.5s - 15.0s,175,0.002859829394285715,1212.9371428571428,121,54,0.004108133008333325,0.007997646132075464,1215.9752066115702,1206.1296296296296,424528.0,294266.0,130262.0,1
30,15.0s - 15.5s,183,0.0027255979180327876,1203.103825136612,123,60,0.0038473854098360666,0.008241990711864428,1214.3170731707316,1180.1166666666666,440336.0,298722.0,141614.0,1
31,15.5s - 16.0s,170,0.0029507776529411763,1215.1823529411765,118,52,0.004025015452991451,0.009127709666666694,1230.0677966101696,1181.4038461538462,413162.0,290296.0,122866.0,1
32,16.0s - 16.5s,182,0.0027441998076923077,1213.7142857142858,120,62,0.0041360445210084,0.008068237196721314,1236.6083333333333,1169.4032258064517,441792.0,296786.0,145006.0,1
33,16.5s - 17.0s,170,0.0028784017235294113,1226.235294117647,119,51,0.004017328110169506,0.00942925682000002,1226.4621848739496,1225.7058823529412,416920.0,291898.0,125022.0,1
34,17.0s - 17.5s,180,0.0028404373833333337,1207.7333333333333,121,59,0.004150708999999993,0.008588538931034506,1212.900826446281,1197.135593220339,434784.0,293522.0,141262.0,1
35,17.5s - 18.0s,166,0.003007954843373493,1224.4759036144578,112,54,0.004411410432432429,0.009101514716981151,1233.4910714285713,1205.7777777777778,406526.0,276302.0,130224.0,1
36,18.0s - 18.5s,170,0.0028884948176470574,1188.7882352941176,113,57,0.0042949578303571444,0.00804335844642853,1205.4778761061948,1155.701754385965,404188.0,272438.0,131750.0,1
37,18.5s - 19.0s,183,0.0027863877868852466,1238.2622950819673,125,58,0.0039345881774193615,0.008469741017543834,1255.312,1201.5172413793102,453204.0,313828.0,139376.0,1
38,19.0s - 19.5s,172,0.002852437883720929,1199.7325581395348,117,55,0.004141268284482756,0.008902266444444449,1212.982905982906,1171.5454545454545,412708.0,283838.0,128870.0,1
39,19.5s - 20.0s,160,0.0031394037,1204.80625,107,53,0.004639312783018883,0.009459572615384583,1210.1495327102805,1194.0188679245282,385538.0,258972.0,126566.0,1
