,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,Person
0,0.0s - 0.5s,137,0.003587768087591242,1210.014598540146,88,88,1
1,0.5s - 1.0s,142,0.0035166656760563376,1176.556338028169,83,83,1
2,1.0s - 1.5s,136,0.0035080923235294107,1138.9485294117646,77,77,1
3,1.5s - 2.0s,148,0.0035415772500000005,1179.3648648648648,91,91,1
4,2.0s - 2.5s,133,0.0037608981052631566,1168.5112781954888,79,79,1
5,2.5s - 3.0s,141,0.0035544695744680853,1178.3333333333333,83,83,1
6,3.0s - 3.5s,127,0.0037756069842519685,1157.8740157480315,72,72,1
7,3.5s - 4.0s,142,0.0036663575845070425,1185.3732394366198,83,83,1
8,4.0s - 4.5s,132,0.00371330043939394,1173.409090909091,79,79,1
9,4.5s - 5.0s,136,0.0036817150220588243,1119.9485294117646,74,74,1
10,5.0s - 5.5s,120,0.004255223466666668,1103.5666666666666,64,64,1
11,5.5s - 6.0s,136,0.00353683900735294,1169.3382352941176,82,82,1
12,6.0s - 6.5s,124,0.0041108040806451624,1121.5564516129032,65,65,1
13,6.5s - 7.0s,141,0.0036202122978723425,1163.22695035461,90,90,1
14,7.0s - 7.5s,138,0.0036287353768115946,1202.5507246376812,79,79,1
15,7.5s - 8.0s,144,0.003474521249999999,1191.7430555555557,88,88,1
16,8.0s - 8.5s,129,0.0038622897984496134,1184.906976744186,71,71,1
17,8.5s - 9.0s,161,0.003126253285714288,1148.9192546583852,106,106,1
18,9.0s - 9.5s,144,0.0033809757638888875,1191.1944444444443,83,83,1
19,9.5s - 10.0s,141,0.003643285468085105,1177.4184397163122,84,84,1
20,10.0s - 10.5s,147,0.0034012882040816324,1171.4149659863945,88,88,1
21,10.5s - 11.0s,139,0.003529744381294964,1153.6762589928057,81,81,1
22,11.0s - 11.5s,128,0.003910593359375,1179.28125,68,68,1
23,11.5s - 12.0s,144,0.0034767126458333333,1187.2708333333333,93,93,1
24,12.0s - 12.5s,145,0.0034525551793103447,1152.2275862068966,85,85,1
25,12.5s - 13.0s,150,0.0033383156200000007,1190.72,91,91,1
26,13.0s - 13.5s,135,0.0037030827037037046,1170.7037037037037,78,78,1
27,13.5s - 14.0s,141,0.0035511495957446797,1210.1347517730496,90,90,1
28,14.0s - 14.5s,146,0.0034261661301369854,1176.6575342465753,86,86,1
29,14.5s - 15.0s,140,0.003584029257142856,1173.4071428571428,85,85,1
30,15.0s - 15.5s,139,0.0035888166978417266,1169.7122302158273,81,81,1
31,15.5s - 16.0s,150,0.003337667926666667,1164.5,91,91,1
32,16.0s - 16.5s,145,0.00338416904137931,1149.5379310344827,88,88,1
33,16.5s - 17.0s,146,0.0035032658904109587,1199.2397260273972,90,90,1
34,17.0s - 17.5s,144,0.0034678872569444425,1165.9375,86,86,1
35,17.5s - 18.0s,146,0.003436998075342466,1166.2876712328766,86,86,1
36,18.0s - 18.5s,140,0.0035655698428571424,1204.6714285714286,88,88,1
37,18.5s - 19.0s,144,0.003404535597222223,1166.1319444444443,87,87,1
38,19.0s - 19.5s,145,0.0035223053999999987,1192.2206896551725,88,88,1
